## Created Pattern      N   immr  imms
-- ----------------     -   ----  ----
01 0000000fffffe000 --  1    33    16
01 0000000ffffff000 --  1    34    17
01 0000000ffffff800 --  1    35    18
01 0000000ffffffc00 --  1    36    19
01 0000000ffffffe00 --  1    37    1a
01 0000000fffffff00 --  1    38    1b
01 0000000fffffff80 --  1    39    1c
01 0000000fffffffc0 --  1    3a    1d
01 0000000fffffffe0 --  1    3b    1e
01 0000000ffffffff0 --  1    3c    1f
01 0000000ffffffff8 --  1    3d    20
01 0000000ffffffffc --  1    3e    21
01 0000000ffffffffe --  1    3f    22
01 0000000fffffffff --  1    00    23
01 0000001000000000 --  1    1c    00
02 0000001000000010 --  0    1c    00
02 0000001000000010 --  0    3c    00
01 0000001800000000 --  1    1d    01
02 0000001800000018 --  0    1d    01
02 0000001800000018 --  0    3d    01
01 0000001c00000000 --  1    1e    02
02 0000001c0000001c --  0    1e    02
02 0000001c0000001c --  0    3e    02
01 0000001e00000000 --  1    1f    03
02 0000001e0000001e --  0    1f    03
02 0000001e0000001e --  0    3f    03
01 0000001f00000000 --  1    20    04
02 0000001f0000001f --  0    00    04
02 0000001f0000001f --  0    20    04
01 0000001f80000000 --  1    21    05
01 0000001fc0000000 --  1    22    06
01 0000001fe0000000 --  1    23    07
01 0000001ff0000000 --  1    24    08
01 0000001ff8000000 --  1    25    09
01 0000001ffc000000 --  1    26    0a
01 0000001ffe000000 --  1    27    0b
01 0000001fff000000 --  1    28    0c
01 0000001fff800000 --  1    29    0d
01 0000001fffc00000 --  1    2a    0e
01 0000001fffe00000 --  1    2b    0f
01 0000001ffff00000 --  1    2c    10
01 0000001ffff80000 --  1    2d    11
01 0000001ffffc0000 --  1    2e    12
01 0000001ffffe0000 --  1    2f    13
01 0000001fffff0000 --  1    30    14
01 0000001fffff8000 --  1    31    15
01 0000001fffffc000 --  1    32    16
01 0000001fffffe000 --  1    33    17
01 0000001ffffff000 --  1    34    18
01 0000001ffffff800 --  1    35    19
01 0000001ffffffc00 --  1    36    1a
01 0000001ffffffe00 --  1    37    1b
01 0000001fffffff00 --  1    38    1c
01 0000001fffffff80 --  1    39    1d
01 0000001fffffffc0 --  1    3a    1e
01 0000001fffffffe0 --  1    3b    1f
01 0000001ffffffff0 --  1    3c    20
01 0000001ffffffff8 --  1    3d    21
01 0000001ffffffffc --  1    3e    22
01 0000001ffffffffe --  1    3f    23
01 0000001fffffffff --  1    00    24
01 0000002000000000 --  1    1b    00
